Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_ROTTENBANANA_DESC,A rotten banana.,A rotten banana.,A rotten banana.,A rotten banana.,A rotten banana.,A rotten banana.,Гнилой банан.,A rotten banana.,A rotten banana.,A rotten banana.,A rotten banana.
STR_SERGEANT,Sergeant,Sergeant,Sergent,Sargento,Sergente,Sergeant,Сержант,Sierżant,Seržant,Őrmester,Sergeant
STR_USERACTIONS_EAT_ORANGE,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange,Съесть свежий апельсин,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange,Eat Fresh Orange
STR_GENERAL,General,General,Général,General,Generale,General,Генерал,Generał,Generál,Tábornok,General
STR_USERACTIONS_FEED_ORANGE,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange,Накормить свежим апельсином,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange,Feed Fresh Orange
STR_SHORT_PRIVATE,Pvt,Pvt,Sdt,Sld,Sold.,Pvt,Ряд.,Szer.,Voj,Kzlgy,Pvt
STR_ITEMS_ORANGE,Orange,Orange,Orange,Orange,Orange,Orange,Апельсин,Orange,Orange,Orange,Orange
STR_MAJOR,Major,Major,Commandant,Comandante,Maggiore,Major,Майор,Major,Major,Őrnagy,Major
STR_ITEMS_ORANGE_DESC,A fresh orange.,A fresh orange.,A fresh orange.,A fresh orange.,A fresh orange.,A fresh orange.,Свежий апельсин,A fresh orange.,A fresh orange.,A fresh orange.,A fresh orange.
STR_COLONEL,Colonel,Colonel,Colonel,Coronel,Colonnello,Colonel,Полковник,Pułkownik,Plukovník,Ezredes,Colonel
STR_ITEMS_CANNEDTUNA,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Консервированный тунец,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna
STR_SHORT_CAPTAIN,Capt,Capt,Cap,Cpt,Cap.,Cpt,К-н,Kpt.,Kpt,Szds,Capt
STR_ITEMS_CANNEDSPAGHETTI_DESC,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.,A nutritious and long-lasting can of spaghetti that can be opened with a can opener. Will last two to five years depending on storage conditions.
STR_SHORT_LIEUTENANT,Ltn,Ltn,Lt,Tnt,Ten.,Ltn,Л-т,Por.,Por,Hdngy,Ltn
STR_ITEMS_CANNEDSPAGHETTI,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti,Консервированные спагетти,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti,Canned Spaghetti
STR_SHORT_SERGEANT,Sgt,Sgt,Sgt,Srg,Serg.,Sgt,С-нт,Sierż.,Čet,Őrm,Sgt
STR_SHORT_CORPORAL,Cpl,Cpl,Cpl,Cabo,Cap.,Corp,Ефр.,Kpr.,Svob,Tiz,Cpl
STR_ITEMS_POWDEREDMILK_DESC,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.,A dairy product manufactured by evaporating milk until dry to preserve and reduce it's weight. Has a significantly greater shelf life than liquid milk. Mix with water.
STR_SKILL_NOVICE,Novice,Novice,Novice,Aprendiz,Principiante,Neuling,Новичок,Nowicjusz,Zelenáč,Kezdő,弱い
STR_ITEMS_POWDEREDMILK,Powdered Milk,Powdered Milk,Powdered Milk,Powdered Milk,Powdered Milk,Powdered Milk,Сухое молоко,Powdered Milk,Powdered Milk,Powdered Milk,Powdered Milk
STR_SHORT_GENERAL,Gen,Gen,Gén,Gen,Gen.,Gen,Ген.,Gen.,Gen,Tbrn,Gen
STR_ITEMS_CEREAL,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Хлопья "Crunchin Crisps",Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal,Crunchin Crisps Cereal
STR_SHORT_COLONEL,Col,Col,Col,Crn,Col.,Col,П-к,Płk,Plk,Ezrd,Col
STR_ITEMS_CANNEDTUNA_DESC,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.
STR_SHORT_MAJOR,Maj,Maj,Maj,Cte.,Magg.,Mjr,М-р,Mjr,Mjr,Őrn,Maj
STR_ITEMS_RICE_DESC,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,"Пакет риса, который является наиболее потребляемым продуктом для большей части населения. Употребляется, как правило, после варки в воде.",A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.,A bag of rice which is the most widely consumed staple food for most of the world's human population. Usually consumed when cooked with water.
STR_SKILL_EXPERT,Expert,Expert,Expert,Experto,Esperto,Profi,Эксперт,Ekspert,Expert,Szakértő,強い
STR_ITEMS_RICE,Rice,Rice,Rice,Rice,Rice,Rice,Рис,Rice,Rice,Rice,Rice
STR_SKILL_VETERAN,Veteran,Veteran,Vétéran,Veterano,Veterano,Veteran,Ветеран,Weteran,Veterán,Veterán,Veteran
STR_USERACTIONS_FEED_POWDEREDMILK,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk,Накормить сухим молоком,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk,Feed Powdered Milk
STR_SKILL_RECRUIT,Recruit,Recruit,Recrue,Recluta,Recluta,Rekrut,Рекрут,Rekrut,Rekrut,Sorkatona,Recruit
STR_USERACTIONS_EAT_POWDEREDMILK,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk,Съесть сухое молоко,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk,Eat Powdered Milk
STR_SKILL_ROOKIE,Rookie,Rookie,Débutant,Principiante,Novellino,Anfänger,Новобранец,Początkujący,Nováček,Újonc,Rookie
STR_USERACTIONS_EAT_APPLE,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple,Съесть свежее яблоко,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple,Eat Fresh Apple
STR_CONTACT,Open fire,Open fire,Ouvrir le feu,Abrir fuego,Aprire il fuoco,Feuer eröffnen,Открыть огонь,Otworzyć ogień,Zahájit palbu,Szabad tüzelés,Open fire
STR_ITEMS_APPLE_DESC,A fresh apple.,A fresh apple.,A fresh apple.,A fresh apple.,A fresh apple.,A fresh apple.,Свежее яблоко.,A fresh apple.,A fresh apple.,A fresh apple.,A fresh apple.
STR_WHITE,"Hold fire, Engage at will","Hold fire, Engage at will","Ne pas tirer, feu à volonté","No disparéis, ataque a discreción","Non sparare, fuoco a volontà","Feuer einstellen, Angriff n. eig. Ermessen","Не стрелять, огонь по желанию","Wstrzymać ogień, atakować bez rozkazu","Nestřílet, zaútočit dle vůle","Tüzet szüntess, támadás belátás szerint","Hold fire, Engage at will"
STR_ITEMS_APPLE,Apple,Apple,Apple,Apple,Apple,Apple,Яблоко,Apple,Apple,Apple,Apple
STR_BYPASS,Hold fire,Hold fire,Ne pas tirer,No disparar,Non sparare,Feuerpause,Прекратить огонь,Wstrzymać ogień,Nestřílet,Tüzet szüntess,Hold fire
STR_USERACTIONS_EAT_RAWRICE,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice,Съесть рис,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice,Eat Raw Rice
STR_IGNORE,Never fire,Never fire,Ne jamais tirer,No disparar nunca,Non sparare mai,Nie schießen,Запретить огонь,Nigdy nie strzelać,Střílet zakázáno,Nem tüzel,Never fire
STR_ECHL,Echelon L.,Echelon L.,Échelon G,Escalón I.,Scaglione S,Staffel links,Левый пеленг,Eszelon L.,Odřad L.,Balra lépcsős,エシュロン（左）
STR_ECHR,Echelon R.,Echelon R.,Échelon D,Escalón D.,Scaglione D,Staffel rechts,Правый пеленг,Eszelon P.,Odřad P.,Jobbra lépcsős,エシュロン（右）
STR_VEE,Vee,Vee,V,Uve,V,V-förmig,Обратный клин,V,Véčko,V,Ｖ字隊形
STR_LINE,Line,Line,Ligne,Fila,Linea,Reihe,Линия,Linia,Rojnice,Sor,ライン
STR_ENGAGE,"Open fire, Engage at will","Open fire, Engage at will","Ouvrir le feu, feu à volonté","Abrir fuego, ataque a discreción","Aprire il fuoco, fuoco a volontà","Feuer eröffnen, Eigenständiger Angriff","Открыть огонь, огонь по желанию","Otworzyć ogień, atakować bez rozkazu","Zahájit palbu, zaútočit dle libosti","Szabad tüzelés, támadás belátás szerint","Open fire, Engage at will"
STR_COLUMN,Column,Column,Colonne,Columna,Colonna,Kolonne,Колонна,Kolumna,Zástup,Oszlop,縦隊形
STR_STAGGERED,Staggered Col.,Staggered Col.,Col. décalée,Col. escalonada,Col. frammentata,Gestaffelte Kol.,Колонна в шахматном порядке,Nieregularna kol.,Dvojstup,Lépcsőzetes oszlop,ジグザグ隊形
STR_WEDGE,Wedge,Wedge,Coin,Cuña,Cuneo,Keil,Клин,Klin,Klín,Ék,くさび隊形
STR_ATTACK,Engage,Engage,Engager,Atacar,Ingaggiare,Angriff,Открыть огонь,Atak,Zaútoč,Támadás,Engage
STR_HIDE,Find cover,Find cover,Se mettre à couvert,Buscar cubierto,Trovare riparo,Deckung suchen,Найти укрытие,Znaleźć osłonę,Najdi kryt,Fedezékbe,隠れる
STR_MOVE,Move,Move,Se déplacer,Avanzar,Muoversi,Bewegen,Идти,Ruch,Přesun,Mozgás,移動
STR_HEAL,Heal,Heal,Soigner,Curar,Curare,Heilen,Лечить,Wyleczyć,Ošetřit,Gyógyítás,Heal
STR_DIAMOND,Delta,Delta,Delta,Delta,Delta,Delta,Дельта,Delta,Delta,Delta,デルタ
STR_FILE,Column (compact),Column (compact),Colonne (resserrée),Columna (compacta),Colonna (compatta),Kolonne (kompakt),Колонна (компакт.),Zwarta kolumna,Zástup (kompaktní),Oszlop (tömör),縦隊形（密集）
STR_NOCOMMAND,None,None,Néant,Ninguna,Nessuno,Keine,Нет,Brak,Žádný,Üres,なし
STR_WAIT,Wait,Wait,Attendre,Esperar,Aspettare,Warten,Ждать,Czekać,Čekej,Várj,Wait
STR_GETIN,Mount,Mount,Embarquer,Montar,Salire,Aufsteigen,Сесть в,Wsiadać,Nastup,Beszállás,搭載
STR_JOIN,Follow,Follow,Suivre,Seguir,Seguire,Folgen,Следовать,Za mną,Následuj,Követés,Follow
STR_GETOUT,Disembark,Disembark,Débarquer,Desembarcar,Scendere,Verlassen,Спешиться,Wysiadać,Vystup,Kiszállás,Disembark
STR_FIRE,Fire,Fire,Tirer,Fuego,Fuoco,Schießen,Огонь,Ognia,Pal,Tüzelés,発射
STR_REFUEL,Refuel,Refuel,Ravitailler,Repostar,Rifornire,Auftanken,Заправить,Uzupełnić paliwo,Natankovat,Tankolás,Refuel
STR_REPAIR,Repair,Repair,Réparer,Reparar,Riparare,Reparieren,Чинить,Naprawić,Opravit,Javítás,Repair
STR_SUPPORT,Support,Support,Soutenir,Apoyo,Supporto,Unterstützung,Поддержка,Wsparcie,Podpora,Támogatás,Support
STR_REARM,Rearm,Rearm,Réarmer,Rearmar,Riarmare,Neu bewaffnen,Зарядить,Uzupełnić amunicję,Doplnit munici,Újrafegyverez,Rearm
STR_HEALSOLDIER,Heal soldier,Heal soldier,Soigner soldat,Curar soldado,Curare soldato,Soldaten heilen,Лечить солдата,Wylecz żołnierza,Vyléčit vojáka,Katona gyógyítása,Heal soldier
STR_DISMISS,Dismissed,Dismissed,Écarté,Libre,Libero,Entlassen,Разойдись,Odrzucony,Rozchod,Oszolj,Dismissed
STR_STATE_NOCOMMAND,None,None,Néant,Ninguna,Nessuno,Keine,Нет,Brak,Žádný,Üres,なし
STR_ACTION_FIRST_AID,First Aid,First Aid,1ers soins,Primeros auxilios,Pronto soccorso,Erste Hilfe,Первая помощь,Opatrz,První pomoc,Elsősegély,応急手当
STR_EXPECT,Wait for me,Wait for me,M'attendre,Esperarme,Aspettarmi,Auf mich warten,Ждать меня,Czekać na mnie,Čekejte.,Várj rám,待ってください
STR_STOP,Stop,Stop,Halte,Parar,Alt,Stopp,Стоять,Stop,Stát,Állj,止まる
STR_SCRIPTED,Busy,Busy,Occupé,Ocupado,Impegnato,Beschäftigt,Занят,Zajęty,V akci,Foglalt,Busy
STR_ACTION,Action,Action,Action,Acción,Azione,Aktion,Действие,Akcja,Akce,Cselekvés,アクション
STR_STATE_REFUEL,Refuel,Refuel,Ravitailler,Repostar,Rifornire,Auftanken,Заправлять,Uzupełnienie paliwa,Natankovat,Tankolás,Refuel
STR_STATE_REARM,Rearm,Rearm,Réarmer,Rearmar,Riarmare,Neu bewaffnen,Перезаряжать,Uzupełnienie amunicji,Doplnit munici,Újrafegyverez,Rearm
STR_STATE_HEAL,Heal,Heal,Soigner,Curar,Curare,Heilen,Лечить,Leczenie,Ošetřit,Gyógyítás,Heal
STR_STATE_REPAIR,Repair,Repair,Réparer,Reparar,Riparare,Reparieren,Чинить,Naprawa,Opravit,Javítás,Repair
STR_STATE_HIDE,Hide,Hide,Cacher,Ocultar,Nascondersi,Verstecken,Спрятаться,Kryć się,Skrýt,Elrejt,Hide
STR_STATE_MOVE,Move,Move,Se déplacer,Avanzar,Muoversi,Bewegen,Двигаться,Naprzód,Přesun,Mozog,Move
STR_STATE_WAIT,Ready,Ready,Prêt,Preparado,Pronto,Bereit,Готов,Gotów,Připraven,Kész,Ready
STR_STATE_ATTACK,Engage,Engage,Engager,Atacar,Ingaggiare,Angreifen,Атака,Atak,Zaútoč,Támadás,Engage
STR_STATE_EXPECT,Wait,Wait,Attendre,Esperar,Aspettare,Warten,Ожидание,Czekanie,Počkej,Várj,Wait
STR_STATE_ACTION,Action,Action,Action,Acción,Azione,Aktion,Бой,Akcja,Akce,Cselekvés,Action
STR_STATE_GETOUT,Disembark,Disembark,Débarquer,Desembarcar,Scendere,Verlassen,Высадиться,Wysiadać,Vystup,Kiszállás,Disembark
STR_STATE_STOP,Stop,Stop,Halte,Parar,Alt,Stopp,Стоять,Stop,Stát,Állj,Stop
STR_STATE_GETIN,Mount,Mount,Embarquer,Montar,Salire,Aufsteigen,Транспорт,Wsiadać,Nastup,Beszállás,Mount
STR_STATE_FIRE,Fire,Fire,Tirer,Fuego,Fuoco,Schießen,Огонь,Ognia,Pal,Tüzelés,射撃
STR_STATE_SUPPORT,Support,Support,Soutenir,Apoyo,Supporto,Unterstützung,Поддержка,Wsparcie,Podpora,Támogatás,Support
STR_STATE_JOIN,Follow,Follow,Suivre,Seguir,Seguire,Folgen,Следовать,Podążanie,Následuj,Követés,Follow
STR_WATCH_TARGET,Target,Target,Cible,Objetivo,Obiettivo,Ziel,Цель,Cel,Cíl,Célpont,ターゲット
STR_WATCH,Engage,Engage,Engager,Atacar,Ingaggiare,Angriff,Поведение в бою,Atak,Zaútoč,Támadás,交戦
STR_FOLLOW_ME,Return to Formation,Return to Formation,Retour à formation,Volver a la formación,Rit. in formazione,Zurück in Formation,Вернуться в строй,Wracać do szyku,Návrat do formace,Alakzatot felvenni,隊形に戻る
STR_USERACTIONS_EAT_TOMATO,Eat Tomato,Eat Tomato,Eat Tomato,Eat Tomato,Eat Tomato,Eat Tomato,Съесть помидор,Eat Tomato,Eat Tomato,Eat Tomato,Eat Tomato
STR_AWAY,Away,Away,Loin,Fuera,Lontano,Fort,Вдали,Daleko,Daleko,Messze,Away
STR_STATE_FIRST_AID,Heal,Heal,Soigner,Curar,Curare,Heilen,Лечить,Leczenie,Ošetřit,Gyógyítás,Heal
STR_STATE_HEALSOLDIER,Heal,Heal,Soigner,Curar,Curare,Heilen,Лечить,Leczenie,Ošetřit,Gyógyítás,Heal
STR_STATE_DISMISS,Dismissed,Dismissed,Écarté,Libre,Libero,Entlassen,Разойдись,Oddalił,Rozchod,Oszolj,Dismissed
STR_STATE_SCRIPTED,Busy,Busy,Occupé,Ocupado,Impegnato,Beschäftigt,Занят,Zajęty,V akci,Elfoglalt,Busy
STR_RADIO_GOLF,Golf,Golf,Golf,Golf,Golf,Golf,Гольф,Golf,Golf,Golf,ゴルフ
STR_RADIO_FOXTROT,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Foxtrot,Фокстрот,Foxtrot,Foxtrot,Foxtrot,フォクストロット
STR_RADIO_ECHO,Echo,Echo,Echo,Echo,Echo,Echo,Эхо,Echo,Echo,Echo,エコー
STR_RADIO_DELTA,Delta,Delta,Delta,Delta,Delta,Delta,Дельта,Delta,Delta,Delta,デルタ
STR_RADIO_CHARLIE,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Чарли,Charlie,Charlie,Charlie,チャーリー
STR_RADIO_BRAVO,Bravo,Bravo,Bravo,Bravo,Bravo,Bravo,Браво,Bravo,Bravo,Bravo,ブラボー
STR_RADIO_ALPHA,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Альфа,Alfa,Alfa,Alpha,アルファ
STR_LEADER,Leader,Leader,Chef,Líder,Leader,Anführer,Лидер,Dowódca,Velitel,Vezető,リーダー
STR_UI_RADARRANGE,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f
STR_UI_ALT,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f,%4.0f
STR_MPTABLE_INFANTRY,Infantry,Infantry,Infanterie,Infantería,Fanteria,Infanterie,Пехота,Piechota,Pěchota,Gyalogság,歩兵
STR_MPTABLE_NAME,Player,Player,Joueur,Jugador,Giocatore,Spieler,Игрок,Gracz,Hráč,Játékos,Player
STR_MPTABLE_ARMORED,Armored,Armored,Blindé,Blindaje,Blindati,Gepanzert,Бронетехника,Opancerzone,Obrněné,Páncélozott,装甲
STR_MPTABLE_SOFT,Soft,Soft,Sans blindage,Ligero,Non blindati,Ungepanzert,Автомобили,Nieopancerzone,Lehké,Könnyű,ソフト
STR_USERACTIONS_GIVE_BLOODTRANSFUSION,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion,Сделать переливание крови,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion,Give Blood Transfusion
STR_MPTABLE_PLAYERS,Players,Players,Joueurs,Jugadores,Giocatori,Spieler,Игроки,Gracze,Hráči,Játékosok,プレイヤー
STR_ITEMS_BLOODBAGIV_DESC,"Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not.","Whole blood product with connected intravenous delivery attachment to administer a blood transfusion. Will last over a month when refrigerated, less than a day when not."
STR_MPTABLE_AIR,Air,Air,Aérien,Aire,D’aria,Luft,Авиация,Powietrzne,Vzdušné,Légi,空中
STR_RADIO_INDIA,India,India,India,India,India,India,Индия,India,Indie,India,インディア
STR_RADIO_HOTEL,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,Хоутел,Hotel,Hotel,Hotel,ホテル
STR_UI_CARGO_INF,Cargo infantry %d,Cargo infantry %d,Cargaison infanterie %d,Carga infantería %s,Cargo fanteria %d,Infanteriefracht %d,Пехота %d,Transport piechoty %d,Náklad pěchoty %d,Gyalogosok a raktérben: %d,Cargo infantry %d
STR_RADIO_JULIET,Juliet,Juliet,Juliett,Juliet,Juliet,Juliet,Джульет,Juliet,Juliet,Juliet,ジュリエット
STR_UI_CARGO_REPAIR,Cargo repair %.0f,Cargo repair %.0f,Cargaison dépannage %.0f,Carga reparar %.0f,Cargo riparazioni %.0f,Reparaturfracht %.0f,Груз запчастей %.0f,Transport części %.0f,Náhradní díly %.0f,Szerszám a raktérben: %.0f,Cargo repair %.0f
STR_UI_CARGO_FUEL,Cargo fuel %.0f,Cargo fuel %.0f,Cargaison carburant %.0f,Carga combust. %.0f,Cargo carburante %.0f,Treibstofffracht %.0f,Груз топлива %.0f,Transport paliwa %.0f,Náklad paliva %.0f,Üzemanyag a raktérben: %.0f,Cargo fuel %.0f
STR_UI_SPEED,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f,%.0f
STR_UI_CARGO_AMMO,Cargo ammo %.0f,Cargo ammo %.0f,Cargaison munitions %.0f,Carga mun. %.0f,Cargo munizioni %.0f,Munitionsfracht %.0f,Груз боеприпасов %.0f,Transport amunicji %.0f,Náklad munice %.0f,Lőszer a raktérben: %.0f,Cargo ammo %.0f
STR_USRACT_FAST_FORWARD,Fast forward,Fast forward,Avant rapide,Avance rápido,Avanti veloce,Schnell vorwärts,Бег вперед,Szybko do przodu,Rychle vpřed,Gyors haladás,走る
STR_USRACT_SLOW_FORWARD,Slow forward,Slow forward,Avant lent,Avance lento,Avanti lento,Langsam vorwärts,Шаг вперед,Powoli w przód,Pomalu vpřed,Lassan előre,歩く
STR_USRACT_MOVE_LEFT,Turn left,Turn left,Tourner à G,Girar a la izquierda,Gira a sinistra,Nach links wenden,Повернуться влево,Skręt w lewo,Otočení doleva,Balra fordulás,左に向く
STR_USRACT_MOVE_RIGHT,Turn right,Turn right,Tourner à D,Girar a la derecha,Gira a destra,Nach rechts wenden,Повернуться вправо,Skręt w prawo,Otočení doprava,Jobbra fordulás,右に向く
STR_USRACT_EVASIVE_FORWARD,Evasive forward,Evasive forward,Man. évasive avant,Evasiva avance,Schivata in avanti,Ausweichen vorw.,Перебежками вперед,Do przodu z unikiem,Rychle dopředu,Kitérés előre,前ロール（匍匐）
STR_USRACT_EVASIVE_LEFT,Evasive left,Evasive left,Man. évasive G,Evasiva izquierda,Schivata a sinistra,Ausweichen links,Перекат влево,W lewo z unikiem,Úhyb doleva,Kitérés balra,左ロール（匍匐）
STR_USRACT_EVASIVE_RIGHT,Evasive right,Evasive right,Man. évasive D,Evasiva derecha,Schivata a destra,Ausweichen rechts,Перекат вправо,W prawo z unikiem,Úhyb doprava,Kitérés jobbra,右ロール（匍匐）
STR_USRACT_EVASIVE_BACK,Evasive back,Evasive back,Man. évasive arr.,Evasiva atrás,Schivata indietro,Ausweichen rückw.,Перебежками назад,Do tyłu z unikiem,Rychle dozadu,Kitérés hátra,Evasive back
STR_MPTABLE_TOTAL,Total,Total,Total,Total,Totale,Gesamt,Всего,Razem,Celkem,Összesen,合計
STR_MPTABLE_KILLED,Killed,Killed,Tué(s),Muerto,Uccisi,Getötet,Убито,Zabity,Zabit,Megölve,Killed
STR_USRACT_MOVE_FORWARD,Move forward,Move forward,Avancer,Mov. hacia delante,Movimento in avanti,Vorwärts bewegen,Двигаться вперед,Do przodu,Pohyb vpřed,Előre haladás,前進
STR_USRACT_MOVE_BACK,Move back,Move back,Reculer,Mov. hacia atrás,Movimento indietro,Rückwärts bewegen,Двигаться назад,Do tyłu,Pohyb zpět,Hátrafelé haladás,後退
STR_USRACT_TURN_LEFT,Strafe left,Strafe left,Pas latéral G,Esquivar izquierda,Passo lat. a sinistra,Seitschritt links,Шаг влево,Krok w lewo,Posun doleva,Balra oldalazás,左移動
STR_USRACT_TURN_RIGHT,Strafe right,Strafe right,Pas latéral D,Esquivar derecha,Passo lat. a destra,Seitschritt rechts,Шаг вправо,Krok w prawo,Posun doprava,Jobbra oldalazás,右移動
STR_USRACT_MOVE_UP,Up,Up,Debout,Arriba,Su,Aufstehen,Вверх,Góra,Nahoru,Fel,Up
